city        claims  zoneOK  hosp  hospOK  missing hospitals
city0          325     325     2       2  []
city1          274     170     2       0  [(91, 62), (16, 76)]
city2          303     206     5       0  [(122, 24), (57, 35), (32, 53), (86, 63), (120, 110)]
city3          170      49     6       0  [(38, 4), (34, 37), (7, 52), (48, 79), (69, 93), (13, 105)]
city4          275      76     7       0  [(18, 17), (58, 29), (19, 46), (16, 69), (103, 77), (35, 87), (37, 103)]
city5          261      74     3       0  [(104, 35), (70, 60), (27, 98)]
city6          563     295     6       0  [(87, 46), (64, 54), (101, 75), (19, 87), (90, 96), (71, 109)]
city7         1130    1130     3       3  []
city8          373     155     1       0  [(52, 73)]
city9          949     949     4       4  []
city10         491     291     1       0  [(51, 28)]
city11         844     844     2       2  []
city12        1148    1148     2       2  []
city13         693     546     2       0  [(17, 47), (119, 78)]
city14         680     357     6       0  [(117, 1), (28, 15), (45, 49), (124, 57), (9, 107), (70, 124)]
city15        1057    1057     2       2  []
city16         702     301     5       0  [(3, 1), (124, 1), (78, 50), (1, 124), (124, 124)]
city17         576     305     5       0  [(28, 1), (110, 1), (1, 36), (105, 40), (22, 100)]
city18         854     854     2       2  []
city19        1755    1538     3       0  [(19, 27), (104, 58), (22, 102)]
city20        1161     846     3       0  [(97, 45), (22, 46), (50, 69)]
city21        1541    1157     5       0  [(38, 33), (83, 38), (59, 59), (76, 80), (34, 87)]
city22        1380    1043     5       0  [(83, 29), (47, 49), (79, 49), (65, 53), (58, 99)]
city23        1610    1263     4       0  [(86, 42), (92, 55), (72, 87), (8, 113)]
city24        2323    1921     4       0  [(114, 5), (21, 15), (25, 29), (41, 40)]
city25        3265    2796     8       0  [(51, 7), (36, 28), (63, 57), (93, 57), (123, 62), (98, 77), (107, 83), (71, 93)]
city26        2741    2292     3       0  [(61, 16), (43, 86), (86, 102)]
city27        3184    2471     5       0  [(34, 22), (94, 27), (101, 30), (21, 86), (98, 113)]
city28        3007    2421     5       0  [(69, 20), (120, 25), (26, 38), (82, 39), (75, 85)]
city29        2317    2317     4       4  []
