caller           api                    id-arg        full-args
FUN_0044ac80     Play2D(id,flags)       0x80          (0x80, 0)
FUN_00484d20     IsPlaying(id)          0xf           (0xf)
FUN_00484d20     Play2D(id,flags)       0x2c          (0x2c, 0)
FUN_00484d20     Play2D(id,flags)       0xf           (0xf, 0)
FUN_00484d20     Play2D(id,flags)       1             (1, 0)
FUN_00484d20     Play2D(id,flags)       1             (1, 0)
FUN_00484d20     Play2D(id,flags)       1             (1, 0)
FUN_00485f50     Play3D(id,vec3*)       0x80          (0x80, param_1[0x29] + 0x18, 0)
FUN_00485f50     Play3D(id,vec3*)       0x80          (0x80, param_1[0x29] + 0x18, 0)
FUN_00485f50     Play3D(id,vec3*)       0x80          (0x80, param_1[0x29] + 0x18, 0)
FUN_00485f50     Play3D(id,vec3*)       0x80          (0x80, param_1[0x29] + 0x18, 0)
FUN_00485f50     Play3D(id,vec3*)       0x80          (0x80, param_1[0x29] + 0x18, 0)
FUN_00485f50     Play3D(id,vec3*)       0x80          (0x80, param_1[0x29] + 0x18, 0)
FUN_00485f50     Play3D(id,vec3*)       0x80          (0x80, param_1[0x29] + 0x18, 0)
FUN_00485f50     Play3D(id,vec3*)       0x80          (0x80, param_1[0x29] + 0x18, 0)
FUN_00487160     IsPlaying(id)          2             (2)
FUN_00487160     IsPlaying(id)          3             (3)
FUN_00487160     IsPlaying(id)          3             (3)
FUN_00487160     IsPlaying(id)          3             (3)
FUN_00487160     IsPlaying(id)          3             (3)
FUN_00487160     Play2D(id,flags)       2             (2, 0)
FUN_00487160     Play2D(id,flags)       3             (3, 0)
FUN_00487160     Play2D(id,flags)       uVar8         (uVar8, 0)
FUN_00487160     Play2D(id,flags)       uVar8         (uVar8, 0)
FUN_00487160     Stop(id)               2             (2)
FUN_00487160     Stop(id)               3             (3)
FUN_00487160     Stop(id)               3             (3)
FUN_00487160     Stop(id)               3             (3)
FUN_00487bb0     AddFreq(id,d)          0x15          (0x15, 0xa0)
FUN_00487bb0     IsPlaying(id)          0x15          (0x15)
FUN_00487bb0     IsPlaying(id)          0x15          (0x15)
FUN_00487bb0     IsPlaying(id)          0x15          (0x15)
FUN_00487bb0     IsPlaying(id)          10            (10)
FUN_00487bb0     Play2D(id,flags)       0x15          (0x15, 1)
FUN_00487bb0     Play2D(id,flags)       0x15          (0x15, 1)
FUN_00487bb0     Play3D(id,vec3*)       10            (10, param_1[0x2f] + 0x18, 0)
FUN_00487bb0     Stop(id)               0x15          (0x15)
FUN_004883a0     Play3D(id,vec3*)       0x16          (0x16, param_1[0x2f] + 0x18, 0)
FUN_004883a0     Play3D(id,vec3*)       0x16          (0x16, param_1[0x2f] + 0x18, 0)
FUN_00488fd0     AddFreq(id,d)          0             (0, ((piVar6[0x56] >> 0x10) * 4 + -0x5a0) * 0xf)
FUN_00488fd0     AddFreq(id,d)          0             (0, piVar6[0x37] >> 0xc)
FUN_00488fd0     IsPlaying(id)          0             (0)
FUN_00488fd0     IsPlaying(id)          0             (0)
FUN_00488fd0     Play2D(id,flags)       0             (0, 1)
FUN_00488fd0     Play2D(id,flags)       0             (0, 1)
FUN_00488fd0     SetVolume(id,adj)      0             (0, (int)(iVar2 + (iVar2 >> 0x1f & 3U)) >> 2)
FUN_00488fd0     SetVolume(id,adj)      0             (0, iVar2 >> 0x10)
FUN_00488fd0     Stop(id)                             ()
FUN_00488fd0     Stop(id)               0             (0)
FUN_00488fd0     Stop(id)               0             (0)
FUN_00489800     Play2D(id,flags)       0x10          (0x10, 0)
FUN_00489ac0     IsPlaying(id)          0xe           (0xe)
FUN_00489ac0     Play2D(id,flags)       0xe           (0xe, 0)
FUN_00489ac0     Play2D(id,flags)       4             (4, 0)
FUN_0048a580     IsPlaying(id)          0x15          (0x15)
FUN_0048a580     Play3D(id,vec3*)       0x25          (0x25, *(int *)(DAT_005040d0 + 0xa4) + 0x18, 0)
FUN_0048a580     Play3D(id,vec3*)       0x26          (0x26, *(int *)(DAT_005040d0 + 0xa4) + 0x18, 0)
FUN_0048a580     Stop(id)               0x15          (0x15)
FUN_0048a8b0     IsPlaying(id)          0x20          (0x20)
FUN_0048a8b0     Play2D(id,flags)       7             (7, 0)
FUN_0048a8b0     Play3D(id,vec3*)       0x20          (0x20, &DAT_0057f2a8, 1)
FUN_0048a8b0     SetPos(id,vec3*)       0x20          (0x20, &DAT_0057f2a8)
FUN_0048a8b0     SetPos(id,vec3*)       0x20          (0x20, &DAT_0057f2a8)
FUN_0048a8b0     Stop(id)               0x20          (0x20)
FUN_0048e0b0     IsPlaying(id)          0x17          (0x17)
FUN_0048e0b0     IsPlaying(id)          0x1f          (0x1f)
FUN_0048e0b0     IsPlaying(id)          5             (5)
FUN_0048e0b0     Play3D(id,vec3*)       0x17          (0x17, param_3, 0)
FUN_0048e0b0     Play3D(id,vec3*)       0x17          (0x17, param_3, 0)
FUN_0048e0b0     Play3D(id,vec3*)       0x1f          (0x1f, param_3, 1)
FUN_0048e0b0     Play3D(id,vec3*)       0x24          (0x24, param_3, 0)
FUN_0048e0b0     Play3D(id,vec3*)       5             (5, param_3, 1)
FUN_0048e0b0     Play3D(id,vec3*)       6             (6, param_3, 0)
FUN_0048ed00     IsPlaying(id)          0x1f          (0x1f)
FUN_0048ed00     IsPlaying(id)          5             (5)
FUN_0048ed00     Play3D(id,vec3*)       0x16          (0x16, puVar11[10] + 0x18, 0)
FUN_0048ed00     Play3D(id,vec3*)       0x16          (0x16, puVar11[10] + 0x18, 0)
FUN_0048ed00     Play3D(id,vec3*)       0x18          (0x18, puVar11[10] + 0x18, 0)
FUN_0048ed00     Play3D(id,vec3*)       0x18          (0x18, puVar11[10] + 0x18, 0)
FUN_0048ed00     Play3D(id,vec3*)       0xb           (0xb, puVar11[10] + 0x18, 0)
FUN_0048ed00     Play3D(id,vec3*)       7             (7, puVar11[10] + 0x18, 0)
FUN_0048ed00     Stop(id)               0x1f          (0x1f)
FUN_0048ed00     Stop(id)               5             (5)
FUN_00490690     Play3D(id,vec3*)       0xf           (0xf, &local_dc, 0)
FUN_00490690     Play3D(id,vec3*)       10            (10, &local_dc, 0)
FUN_00490690     Play3D(id,vec3*)       10            (10, &local_dc, 0)
FUN_00490690     Play3D(id,vec3*)       7             (7, &local_dc, 0)
FUN_00490690     Play3D(id,vec3*)       7             (7, &local_dc, 0)
FUN_00490690     Play3D(id,vec3*)       7             (7, &local_dc, 0)
FUN_00490690     Play3D(id,vec3*)       9             (9, &local_dc, 0)
FUN_00490690     Play3D(id,vec3*)       uVar16        (uVar16, &local_dc, 0)
FUN_00490690     Play3D(id,vec3*)       uVar16        (uVar16, &local_dc, 0)
FUN_004915b0     Play3D(id,vec3*)       0xf           (0xf, (&DAT_005d68a8)[iVar4 * 0x12] + 0x18, 0)
FUN_0049a940     Play2D(id,flags)       0x21          (0x21, 0)
FUN_0049be50     IsPlaying(id)          *(undefined4 *)((int)param_1 + 0xdb) (*(undefined4 *)((int)param_1 + 0xdb))
FUN_0049be50     IsPlaying(id)          *(undefined4 *)((int)param_1 + 0xdb) (*(undefined4 *)((int)param_1 + 0xdb))
FUN_0049be50     IsPlaying(id)          0x2a          (0x2a)
FUN_0049be50     Play3D(id,vec3*)       *(undefined4 *)((int)param_1 + 0xdb) (*(undefined4 *)((int)param_1 + 0xdb), param_1 + 0xc, 0)
FUN_0049be50     Play3D(id,vec3*)       *(undefined4 *)((int)param_1 + 0xdb) (*(undefined4 *)((int)param_1 + 0xdb), param_1 + 0xc, 0)
FUN_0049be50     Play3D(id,vec3*)       0x2a          (0x2a, param_1 + 0xc, 0)
FUN_0049d660     Play3D(id,vec3*)       0xf           (0xf, param_1 + 0xc, 0)
FUN_0049d7e0     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_0049e270     IsPlaying(id)          0x2b          (0x2b)
FUN_0049e270     Play3D(id,vec3*)       0x2b          (0x2b, param_1 + 0xc, 0)
FUN_0049fd00     Play3D(id,vec3*)       0x81          (0x81, param_1 + 0x30, 0)
FUN_0049ff00     Play3D(id,vec3*)       4             (4, piVar5, 0)
FUN_004a1d50     IsPlaying(id)          0x11          (0x11)
FUN_004a1d50     IsPlaying(id)          0x11          (0x11)
FUN_004a1d50     IsPlaying(id)          0x12          (0x12)
FUN_004a1d50     IsPlaying(id)          0x12          (0x12)
FUN_004a1d50     IsPlaying(id)          0x13          (0x13)
FUN_004a1d50     IsPlaying(id)          0x13          (0x13)
FUN_004a1d50     IsPlaying(id)          0x14          (0x14)
FUN_004a1d50     IsPlaying(id)          0x14          (0x14)
FUN_004a1d50     IsPlaying(id)          0x14          (0x14)
FUN_004a1d50     IsPlaying(id)          0x14          (0x14)
FUN_004a1d50     Play3D(id,vec3*)       0x11          (0x11, &local_c, 1)
FUN_004a1d50     Play3D(id,vec3*)       0x12          (0x12, &local_c, 1)
FUN_004a1d50     Play3D(id,vec3*)       0x13          (0x13, &local_c, 1)
FUN_004a1d50     Play3D(id,vec3*)       0x14          (0x14, &local_c, 1)
FUN_004a1d50     Play3D(id,vec3*)       0x14          (0x14, &local_c, 1)
FUN_004a1d50     SetVolume(id,adj)      0x11          (0x11, iVar3 >> 0x10)
FUN_004a1d50     SetVolume(id,adj)      0x12          (0x12, iVar3 >> 0x10)
FUN_004a1d50     SetVolume(id,adj)      0x13          (0x13, iVar3 >> 0x10)
FUN_004a1d50     SetVolume(id,adj)      0x14          (0x14, iVar3 >> 0x10)
FUN_004a1d50     SetVolume(id,adj)      0x14          (0x14, iVar3 >> 0x10)
FUN_004a1d50     Stop(id)               0x11          (0x11)
FUN_004a1d50     Stop(id)               0x12          (0x12)
FUN_004a1d50     Stop(id)               0x13          (0x13)
FUN_004a1d50     Stop(id)               0x14          (0x14)
FUN_004a1d50     Stop(id)               0x14          (0x14)
FUN_004a22e0     Play3D(id,vec3*)       7             (7, (int *)(param_1 + 0x30), 0)
FUN_004a22e0     Play3D(id,vec3*)       7             (7, (int *)(param_1 + 0x30), 0)
FUN_004a4ac0     IsPlaying(id)          0xd           (0xd)
FUN_004a4ac0     Play3D(id,vec3*)       0xd           (0xd, &iStack_c, 1)
FUN_004a4ac0     SetPos(id,vec3*)       0xd           (0xd, &iStack_c)
FUN_004a4ac0     Stop(id)               0xd           (0xd)
FUN_004a50c0     Play3D(id,vec3*)       0xf           (0xf, &local_c, 0)
FUN_004a5fd0     Play3D(id,vec3*)       4             (4, &local_58, 0)
FUN_004a9a10     Play2D(id,flags)       0x7f          (0x7f, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
